,Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
1070,Chloe Lowe,flewis@example.com,"enchanted stay magnificent come, attempt stay turned change plans unexpected plumbing problem, disappointed stay, year passed lady wanted try, angelo nob hill hotel mentioned compensate way, did gave complimentary night stay enchanting romantic room windows face courtyard garden, travel frequently seek historic inns bbs hotels, hotel elegant entry period art decour marble floor antique furnishings, hallways delight chandeliers candle flickering lamps italian renaissance portraits, elevator charming, casual comfortable, offer complimentary wine 5:30 pm 7:00 pm, tired day exploring union square italian cafe bistro perfect nightcap just located stairs, feel hotel good value prices ranging 79.00 depending high low season, stay great time,  ",2024-08-19 13:38,Colin Alvarez,EMP004,36,952-742-3436x3615,Neutral,Sales,9,3,Inactive,$198,10,Vegan,Standard,Badminton,Gym,Frugal
1071,David Brown DDS,gadkins@example.org,"comfortable dependable stay sofitel hotel enjoys perfect location 5th avenue broadway close away noise confusion times square, stayed week, morning offensive cooking odors restaurant not affiliated hotel entered room, spoke hotel manager promptly moved higher floor ungraded room rest stay, rooms furnished condition expect quality property, beds comfortable high quality linens comforters pillows, stay hotel rooms furnished large flat screen hd televisions, staff met expectations way, certainly intend return,  ",2024-08-09 00:40,Christina Ramirez DDS,EMP295,23,+1-715-636-9090x6169,Negative,Engineering,10,8,Inactive,$163,1,Vegan,Suite,Golf,Gym,Luxury
1072,Alexandra Summers,kennethklein@example.org,"perfect weekend spent nights interconti, check-in manager welcomed guided club-level, discreet atmosphere modern design retro, wing traditionell make-up, room spacious bed perfect, bathroom pleasing cosy tub extra rainshower, shoeshine free, staff friendly hand, nice breakfast pre-dinner reception evening, snacks softdrinks day long, soon.the hotel 5 minute walk zoo-station close kadewe,  ",2024-08-22 23:06,Lisa Jimenez,EMP679,18,374.465.9493,Negative,Finance,13,4,Active,$128,5,Non-Vegetarian,Deluxe,Swimming,Sauna,Frugal
1073,Peter Townsend,wagnerkevin@example.net,"pay read reviews booked knew getting, mind n't surprised, fact better expected, yes rooms outdated towels floormat limited cable tv overall lack amenities use hotel, reviewer said like budget overseas hotel stayed similar condition just enjoyed experience, check desk service great, asked extra pillows maid got, spent 5 flowers pike street added character room.location, friends stayed fairmont street stayed 3 nights night cost, money went dinners trip victoria baseball games,  ",2024-12-11 12:39,Tiffany Patterson MD,EMP683,51,6786766446,Positive,Engineering,26,1,Active,$213,2,Vegan,Suite,Swimming,Sauna,Luxury
1074,Emily Austin,veronicapace@example.com,"good location adequate hotel embassy suite-biltmore fine place stay expectations n't high, proslocation convienent airport downtown shopping restruants, nice flat screen tv room, consthe staff just ok. asked places eat referred large chains neighborhood, internet wireless fair connection, note costs extra 10 diamond members, no easily accessible electrical outlets bedroom,  ",2024-02-24 07:25,Anthony Orr,EMP162,38,387-544-5898,Neutral,Sales,24,5,Active,$252,4,Non-Vegetarian,Standard,Badminton,Sauna,Frugal
1075,Angela Cole,htownsend@example.com,"fun times dr stayed secrets honeymoon week october, place truly beautiful nothing better going breakfast seeing waves blue/green waters, staff staff overly friendly took care issues efficient manner, spoke english, room perfect no bugs cleaned daily different times day. quiet slept just home, left note budlight vodka minibar did day, note minibar fillers maids not people, pool spent time smaller pool room great waterfall going time, met great people enjoyed day weather hot week sunny day, swim bar provided daily entertainment 4pm fellow travelers, suggest play music smaller pool nice, ocean rough looking exersice not unreasonable pretty fun like waves temperature perfect food did n't love sure, slow season restaurants not open daily, buffets worry issues food sitting hours hot weather, mexican best followed steak house room service offers little, n't mind eating things fine, wo n't starve crave wendys burger fries time airport home, oh n't forget cold beer airport beverages not ice cold like used, bummer, ride long not bumby intersting real dominican republic surprisinly poor drivers crazy, enjoyed stay beautiful people nice glad went no rush return prefer venture new island sand places future,  ",2024-12-31 13:58,Dean Burke,EMP936,69,(333)281-3893,Neutral,Engineering,10,5,Active,$309,1,Non-Vegetarian,Deluxe,Table tennis,Sauna,Frugal
1076,Mr. Brian Wright,ubridges@example.net,"affordable luxury absolutely fabulous stay, staff extremely friendly went way help suit needs, breakfast took european morning consists, welcomed hotel hand written card delicious cookies truffles great touch, location ideal highly recommend hotel enjoys luxury affordable price,  ",2024-11-04 05:02,Nicholas Cervantes,EMP022,70,7896152055,Neutral,Engineering,12,10,Active,$493,7,Non-Vegetarian,Standard,Badminton,Gym,Luxury
1077,Cynthia Diaz,uhebert@example.net,"hotel padma best, australia, pointers airport bali n't let balinese men grab bag like wanting help, cause past customs expect pay them.we arrived padma early yes wait room went bar cocktails.when arrived rooms happy gorgeous, spa bath, view n't cares sleep.the pool awesome spent little everyday pool bar.the buffet breakfast everyday pretty good, did n't particularly like bali shopping spent time hotel, want laze pool holidays.we went aussie restaurant not far padma great food ca n't remember definitely stay,  ",2024-07-10 12:10,Brian Ward,EMP127,55,825-450-0462,Negative,Finance,7,3,Inactive,$423,5,Vegan,Deluxe,Table tennis,Massage,Frugal
1078,Kenneth Woodward,cynthia69@example.net,"not star, not star, just returned dominican republic stayed 24th 31st october 2005 booked sunscape punta cana grand advised star hotel, based 30 years traveling experience comparing hotels stayed previously dominican republic rate 3 star hotel course feel deceived complain able maintenance particularly rooms lousy, ownership change taking place, travelplan spanish bought hotel sunscape 16 months ago management switch travelplan january 2006. weird arrangement food quality erratic, service friendly happens happens entertainment worst experienced inclusive hotel.in short stay away,  ",2024-05-23 11:18,Bradley Dougherty,EMP079,53,+1-870-640-6561x65525,Positive,Engineering,2,0,Active,$253,2,Non-Vegetarian,Standard,Golf,Gym,Luxury
1079,Brenda Meyers,alisha29@example.org,"good bad just returned trip paris 3 friends stayed deluxe room hyatt regency madeleine, hotel looks visually beautiful problems stay, a/c did n't work room room cool, called night a/c told engineering come fix morning, asked switch rooms hotel sold, nobody came day called daytime hours, came worked a/c awhile tested temperature left, got hotter, able cool room opening window street lot road noise difficult sleep hear tv, no bar hotel just table service lobby, atmosphere upscale travel lot business like stay nice hotels feels bit stuffy hyatt literally figuratively concerned able control climate room make sure ask a/c heating individually controlled, older hotels europe thermostat room does n't mean really control temperature, pretty winter heating summer cooling overall controlled central location,  ",2024-02-27 08:38,Corey Martinez,EMP563,55,001-405-317-4641x44037,Positive,HR,19,8,Active,$53,8,Vegan,Suite,Swimming,Gym,Frugal
1080,Justin Carr,robertmorgan@example.net,"wonderful place stay, stayed hotel ungherese nights, delightful, sabina leonardo wonderful hosts stay florence memorable, really nice staying outside hustle bustle florence, learned bus simple 10-minute ride florence, caught bus corner hotel ungherese safe quiet residential area, purchased 3-day bus pass worked perfectly getting, sabina reservations ahead time accademia ufizzi gallery entrances sites easy, great giving good advice places visit eat bus, took buses fiesole piazza michelangelo settignano wonderful views city, breakfast real treat great pastries awesome capaccinos, definitely stay trip italy,  ",2024-04-08 15:26,Eric Sawyer,EMP210,43,001-301-985-1597,Positive,Finance,17,1,Inactive,$384,7,Vegan,Suite,Badminton,Sauna,Luxury
1081,Beverly Moore,wheelerjohn@example.com,"good value, spent 3 nights weekend october 100/night ist cheap barcelona* nicely designed modern place* highly recommend room upper floors 11 nice view barcelona, windows reach floor pretty large room quiet panorama* room fantastic wooden pseudo-wooden floor lots space tastefully modern large bathroom* clean* breakfast lot better expected 3*** missed nothing* staff helpful english no problem* location fine dont mind public transportation 10 min walk metro tram 5 stations middle downtown placa catalunya way lots restaurants tapas places ramblas poblenou right hotel,  ",2024-06-04 01:54,Tom Taylor,EMP058,20,837-702-9207x464,Neutral,Support,9,2,Active,$254,4,Vegan,Standard,Table tennis,Gym,Luxury
1082,Michele Guzman,youngjose@example.net,"average hotel nice view ocean husband stayed hotel nights march 2003. definitely suggest sign wyndham request staying, free allows customize room receive free drink snack arrival, upgrade room free join wyndham request, beach hotel tiny, drinks restaurants hotel expensive, vending machines hotel gift shop buy snacks couple small stores blocks, bus best bet getting old san juan, quarter ride, hotel 10 minute ride old san juan, wish hotel restaurants nearby, subway chilis blocks not lot things,  ",2024-07-16 21:14,Dr. Alexandra Deleon,EMP036,44,001-899-541-0142x686,Negative,Engineering,26,9,Inactive,$280,6,Vegan,Standard,Badminton,Gym,Frugal
1083,Amy Wilson,fordjordan@example.org,"class hotel felt like home beautiful hotel extremely friendly staff stay minute la, moment arrived day checked treated staff, beautiful lobby nice bar courtyard relax drink eat, checkin given room n't ready upgraded large room balcony overlooking city views mountains, pool nice great view waiter service, drive no on-street parking near hotel bring plenty small bills valet, time returned welcomed home honestly felt like living, convenient location drive middle beverly hills/bel air area not far beaches hollywood sunset strip,  ",2024-09-08 20:30,Justin Long,EMP273,41,471-706-5241,Neutral,Finance,29,8,Active,$92,6,Vegan,Standard,Badminton,Sauna,Frugal
1084,Rhonda Sullivan,greg70@example.net,"soaking sun sand ocean sands, ocean blue sands resort def 4 5. just got husband lovely time, favor n't read negative reviews time n't high expectations, remember island life issues not usually used live western world, food water different eat drink moderation time adjust, understand odd blackout experienced added adventure lasted long, water pressure low hard hot water shower faucet cold shower nice hot weather hot water available tub, really did not bother like said just adjust.the resort staff friendly smiling time, odd time service slacked went busy overwelmed local dominicans come weeked busy adds atmosphere rooms beautiful big, balcony huge great views, villa 7 room 7305 request like, soon arrived big smile reception told wanted best room town, attitude important staff make break stay, gave wondeful room.the food good lacked little variety, loved general buffet restaurant best variety sit chat table long want, la cartes felt little pressured eat leave.we took tour outside saona island def, payed 80us person worth ride, bring insect repellent doing tour lots sand flies, overall excellent tour.we great time overall ocean sands right lobby construction book later sure look lovely, great time remember open mind best time, hotel not singles party palace rnr couples families opinion.ola enjoy, feel free email questions,  ",2024-10-09 03:44,Brandon Sparks,EMP365,49,822-446-8642,Neutral,Support,22,7,Active,$159,7,Non-Vegetarian,Deluxe,Badminton,Gym,Luxury
1085,Michael Skinner,cannoneric@example.net,"central cheap having got good deal room nights concerned negative tone reviews, hotel infamous car park prepared really n't bad sound.our room generally clean necessary amenities, mould ceiling near window, view neighbouring apartment blocks, noisy night diwali celebrations genuinely added local flavour, liked view appreciate not, staff friendly helpful spoke english.there buffet style breakfast 0730 till 1000 hot cold food, warned gets busy breakfast room early start late advised.for price paid location excellent close metro port area south end la rambla.in summary loved barcelona considering price paid no major complaints hotel,  ",2024-06-20 14:36,David Moore,EMP234,46,849-619-4343,Negative,Support,8,3,Inactive,$278,5,Vegetarian,Suite,Badminton,Sauna,Luxury
1086,Andrew Hunter,youngjacob@example.org,"tiggertastic like people read poor reviews hotel bit downbeat going, fantastic.we flew glasgow 3 year old baby 8mths, booked transfer witha company called tt-prestige great, greeted warmly reception staff fuss baby 3 year old, paperwork dealt v efficiently room ready, rooms ok starting age dont spend time, saying felt comfortable, no fridge tea/ coffee maker, tv english disney channel, hotel puts characters 4pm reception small kids dont miss, good photo op autographs, booked lunch dinners arrival staying 5 days, definately book advance want eat hotel, spoke people told come 10 pm evening meal kids not booked, ate inventions buffet food good good choice offered oz wine difficult france characters walk spent long wanted kids, ate calfornian grill bit adult kids welcome food good, food pricey hotel restaurants, ate village cafe mickey v. busy good fun, park closes 7.30 time mad rush queue restaurants, location hotel perfect park 2 mins walk, baby shop buttons bows think called right park- sells nappys baby food, shop hotel sells disney stuff cooler diet coke water milk expensive 2.50e diet coke, spa/pool area good quiet, sauna/steam changing room jacuzzi pool area, staff v pleasant did best make feel welcome, definately stay, pip pip,  ",2024-07-27 07:52,Patricia Barron,EMP155,64,260-234-6053x12616,Negative,Support,12,1,Inactive,$229,9,Vegan,Deluxe,Table tennis,Massage,Frugal
1087,Jonathan Harper,rfernandez@example.net,"continues great second time stayed hotel, continues first-rate property clean comfortable quiet great friendly service excellent breakfast, elevators bit slow n't hassle, room small sofa bed open did n't bother,  ",2024-04-27 11:15,Jordan Hubbard,EMP087,33,001-702-453-1720,Neutral,HR,8,4,Inactive,$397,6,Non-Vegetarian,Standard,Golf,Gym,Frugal
1088,Diana Sharp,ywilliams@example.org,"solid business hotel near embassy stayed hotel okuras including kyoto kobe, great places traveling business man really know cater needs anticipate, tokyo hotel especially great going government business given nearness embassy, good entertainment biz main players nearby well.the rooms appointed need conduct business road, special plans help eliminate jet lag best dining hotel tokyo wide variety choices,  ",2024-01-07 20:31,Theresa Carrillo,EMP741,50,4886893705,Negative,HR,20,6,Inactive,$427,3,Non-Vegetarian,Deluxe,Badminton,Sauna,Frugal
1089,Paige Lane,kimsmith@example.org,"hell earth, worst hotel stayed, taught valued lesson cheap u r gon na sleep, best friend decided 2 girls weekend n new orleans essence festival minute booked hotel desparation pics web did n't bad, boy wrong, drove past bldg 3 times thinking condemned, people n lobby complaining rooms reservations, complaints events dump choice, elevator not working course room 2nd floor dark hallway blown hall light, asked 4 dbl beds instead 2 rms, hall eachother no tv no air, 2 afraid 2 b n seperate rms stayed 2gether n single rm, w/ 1 bed, o did mention street cops house sourrounded guy shot cop holding girlfriend hostage, u want 2 survival mission st. vincent 4 u. not recommended women staying matter,  ",2024-03-02 03:58,Shelly Wilcox,EMP416,59,272-251-8931,Positive,HR,22,0,Inactive,$370,3,Vegetarian,Standard,Badminton,Massage,Luxury
1090,Amanda James,elizabeth51@example.net,"great location stayed crown plaza darling harbour whilst touring australia december, hotel great location giving easy access want sydney.the hotel rooms beautifully decorated need clean, staff incredibly helpful booking excursions giving tips visit days etc.darling harbour area great day night street entertainers bars restaurants shops, best meal sydney meat wine co. darling harbour really,  ",2024-05-22 19:18,Jose Parks,EMP468,68,(596)364-1797x4692,Negative,Sales,8,4,Active,$210,10,Non-Vegetarian,Suite,Swimming,Sauna,Frugal
1091,Brandi Powers,jwiley@example.org,"great vacation partner visited dom.republic punta cana jan. travelled mayan riv, year decided punta cana result hurricane not dissapointed, gran bahia large did not bother diamond club got quieter better spot pools really nice restaurant breakfast lunch, tram running day night got going just minutes, beach bavaro beautiful seen seen lots, loved beach vendors thought bargain quite came home painting nice inexpensive jewellery, food hotel buffet just okay restaurants bit better place, said japanese restaurant best not french steak place better maybe live vancouver great japenese restaurants, place 5out 5 problems room took care 24 hours, n't afraid book place won n't sorry thing entertainment night theatre bad, stuff going makes,  ",2024-03-13 15:26,Brad Hicks,EMP400,31,650-863-3617,Negative,Support,13,6,Active,$472,3,Non-Vegetarian,Deluxe,Badminton,Massage,Luxury
1092,Andrea Lee,justin28@example.net,"nice property poor beach, grounds resort beautiful maintained, room clean, pools nice, beach terrible, usually beach summer spend day lounging beach, beach unattractive did n't want look, time vacationed beach stayed away, really missed hearing ocean waves, having said nice, looking beautiful beach vacation stay away, type loves lounge pool great place pool area relaxing beautiful flowers,  ",2024-05-02 07:13,Lisa Alvarez DDS,EMP909,35,457-445-4776,Neutral,Engineering,5,4,Active,$416,5,Non-Vegetarian,Suite,Badminton,Sauna,Luxury
1093,Kaitlin Huff,kennethaguilar@example.org,"not best, just got spending 5 days executive suite area, agree previous review need new towels- feel like old cleaning rags, bad really nice hotel relaxing not clean, not eat spain madrid restaurant.. bug water andd did not care, great restaurant not know rich locals la casona excellent food service, ropa vieja excellent puerto rico cuban cuisine, visit new governor taking power.. hotel security not taxis, areas closed, not benefit guests paid 441.00 night plus 120.00 hotel tarriff taxes.overall hotel nice bad not invest money casino new towels upgrade cleaning service,  ",2024-08-07 17:07,Thomas Davis,EMP526,36,815.590.7660x5901,Positive,HR,18,5,Inactive,$492,10,Non-Vegetarian,Deluxe,Golf,Massage,Frugal
1094,Nicole Cummings,davidyoung@example.net,"great place know expect just got 5 night stay melia caribe children 6 10. resort quite lovely big, stayed unit 3623 beachfront beautiful, great beach pool access goes wrong like room key n't working long 15 minute walk lobby, night dinner long walk wait tram felt light headed fumes, did not royal service budget highly recommend, royally screwed service not plan, husband father just hip replacement surgery called golf clubs picked taken course refused lugged 1 mile, royal service guests picked golf carts chauffered n't need 7:00 make dinner reservations everyday japanese restaurant books literally 10 minutes everyday 7:11 not, think hold seating rs guests priority treatment, rs guests special beach area bar service long walk pool bar time beach drink warm, beach beautiful pool beautiful clean employees generally nice, royal service great buffet really nice special pool area quite impresssive too.the buffet food not good regular guests restaurants surprisingly good, atmosphere restaurants great service good, expecting sick did not, restuarant did not like le gourmet skip overall great family place kids, took days comfortable large resort figure going did really liked alot, mentioned beginning not perfect know expect think happy, wish royal service,  ",2024-06-20 20:56,Julia Velez,EMP964,33,(785)952-7534x651,Positive,HR,10,3,Inactive,$414,5,Vegan,Suite,Golf,Sauna,Luxury
1095,Ralph Berg,ygomez@example.org,"3 star hotel pretending 5 star basd food worst hotel amsterdam just awful.was suite went bed sudden hear toilet broken gushing water second reception told come look did informed no 24 hour maintanace hotel noise unbareable complained day informed hotels amsterdam maybe onn stay hotels lo behold pathetic excuse hotel discredit raddison brand avoid costs true 5 star hotels town afford miss wayall rooms raddison sewer holes make bathrooms stink waste.the reception staffare useless rude good thing hotel food,  ",2024-07-07 18:30,Karen Murphy,EMP904,34,+1-248-857-3138x65852,Negative,Finance,7,5,Inactive,$323,2,Vegan,Deluxe,Golf,Gym,Luxury
1096,Michael Mason,marilynthornton@example.net,"lovely hotel set ramblas extremely clean lovely hotel, 4th floor directly overlooking main street busy constantly windows double glazed hardly noise got, hotel perfect place, harbour just road lovely shopping centre beach walking distance tapas bars hard rock cafe just yards away, tourist bus good day getting like, frequency buses 5 minutes not hanging, ate breakfast hotel morning, hours 7-11 a.m. buffet just help selection really good, lots tourists use la poma restaurant belongs hotel, warned pickpockets went did n't trouble police presence feel safe, thing warn gypsy women babies begging constantly, just common sense n't wander narrow alleyways main areas definitely hotel enjoyable stay,  ",2024-04-20 16:02,Joshua Sanchez,EMP971,38,001-678-310-2071x1869,Positive,Engineering,10,2,Active,$80,4,Vegan,Suite,Table tennis,Massage,Frugal
1097,Mary Campbell,ethan71@example.com,"great location lovely hotel welcoming staff booking hotel paris daughter 8 father son 11 overwhelming stayed expensive missed charm paris, looking reasonably priced friday monday ideally located sights open tour bus stop easy eats offered straightforward way getting disneyland paris gare du nord, hotel ticked boxes, just yards exit charles gaulles etoile station provided minimum fuss start end days, buy paris visite ticket access central paris transport, booking directly hotel e-mail easy immediate replies questions booking, arrived obvious member staff reception desk ready say hello wish nice day answer questions, thing stuck mind small thing underlined care staff small hotel takes, tables busy breakfast morning waited corner reception area, couple minutes receptionist popped round check table free shortly showed free table, attention really makes difference felt welcome stay.the hotel situated near champs elysees couple yards away arc triomphe, walk 50 yards street arc eiffel tower sits distance, open bus tours went l'open tour n't disappointed stop yards, disneyland paris 45 minutes away rer runs directly charles gaulle etoile station catch 1 hour park opening knocking door park just right time, aware need ensure tickets right zones disney, bought 1-3 paris visite tickets separate tickets disney, used www.allofrance.co.uk tickets did n't waste time got rooms stayed small clean, particularly pleased bathroom, stay did n't fault regarding cleanliness, breakfast mentioned simple 2 little expensive spend little time muesli yoghurt croissants bread cheese meats fruit coffees deciding plan day wholly worthwhile, street sandwich shop sandwiches salads order mcdonalds 50 yards away hotel night took room did n't energy dine, italian restaurant end road street good location eateries choose from.all left satisfaction managed pick winning hotel hotels offer paris, suffice say similar trip years come easier simply book, friends want visit paris confident recommending little gem,  ",2024-11-01 06:47,Stacy Barrett,EMP465,24,+1-887-391-4181,Negative,Sales,27,1,Inactive,$433,6,Non-Vegetarian,Deluxe,Badminton,Sauna,Frugal
1098,Stephen Lee,juliebrooks@example.org,"wonderful hotel lovely hotel hotel remember especially wonderful room, complaint lack english channels movies not enjoyable watching american movies dubbed german understand 3 words total international hotel cater english speaking guests not german speaking guests,  ",2024-11-07 16:34,Megan Griffith,EMP446,69,+1-695-234-6946x1553,Neutral,Support,26,8,Inactive,$353,7,Vegan,Standard,Swimming,Gym,Frugal
1099,Gregory Evans,harveypamela@example.net,"ca n't wait return fabulous hotel, staying hotel ca n't imagine staying sf, rooms luxurious despite size hotel think alone.no noise hotel users, enjoy,  ",2024-10-22 15:08,Ryan Morales,EMP825,51,770-413-8267,Positive,Engineering,5,1,Active,$145,5,Vegan,Suite,Golf,Massage,Frugal
1100,Scott Simpson,hansenmarcus@example.net,"family total 22 people visited breezes punta cana oct. 5 oct. 10th, good pool area beautiful occasional poop pool yes know disgusting true beach definitely nicest clean drinks good bad okay rooms average need total makeover say facelift staff tried rarely understood asking ugly food food, place food absolutely terrible, trying make reservations restaurants large group, restaurants warm air conditioning does n't work men having wear pants outside restaurants heat completely ridiculous, 6 days n't know people did 2 weeks,  ",2024-04-23 20:22,Douglas Wilson,EMP988,40,244-754-7722,Negative,Finance,18,8,Active,$288,2,Non-Vegetarian,Deluxe,Table tennis,Sauna,Luxury
1101,Tina Armstrong,jasonbenson@example.net,"loved, family husband young child baby just returned wonderful vacation palace 8/27 9/6, service terrific staff speak english friendly helpful, not required tipped 1 2 dollars, bring 150 singles, come handy airport resort, grounds emaculate crews constantly cleaning, beach beautiful calm crystal clear water powder white sand, lounge chairs guests, need arrive early beach want lounge shade, pool enormous kiddi pools large jacuzzi swim bar, wait swim bar bit long bartender big crowd, aware floor tiles pool slippery wet, surpised no lifeguards pool beach, palace restaurants not included inclusive plan french restaurant costing 30 dollars person, stuck inclusive restaurants, breakfast buffet good selection food, bountiful enticing steered clear non-cooked items fruit yogurt cheese cold cuts, policy adhered meal no stomach problems, did not drink use tap water showers, brushed teeth bottled water, buffet good selection breakfast lunch dinner disappointment, highly recommend las brisas restaurant beach nice selection seafood, try grilled lobster shrimp garlic sauce, beach restaurant rincon dominicano delicious food, thought la pina beach restaurant good pizza grilled chicken nothing, pool restaurant el bohio good appetizers ok food, overall food selection good eat day long.the adult nightly shows fun, nightly kid virtually non existent lone clown small disco dancing circles children songs 1/2 hour, young child enjoyed, older children bored, daytime mini club better beach arts crafts games, room large adults child baby, aware cribs old broken not come crib sheets, bring crib sheets crib rail guards prevent baby chewing rail, room musty smell, source smell cabinet stores mini bar, apparently freezer mini frig defosted water seeped cabinet, cabinet frig replaced smell gone, sure stay buildings 2 4. building 1 3 close pool entertainment area noisy, buildings 5 6 far away, careful elevator doors extremely dangerous, sensors located doors, summary terrific time, not drink tap water consume non-cooked foods, did not problems adding ice drinks, highly recommend resort, wonderful place spend vacation family, plan return,  ",2024-04-18 16:14,Kayla Lynch,EMP932,58,+1-819-348-4233x01876,Neutral,Finance,29,3,Active,$411,4,Vegan,Standard,Badminton,Sauna,Luxury
1102,Kristen Keller,dennisvalencia@example.com,"nice resort like big resort lovely grounds nice air conditioned spacious rooms beautiful white sand beach place, enjoy atmosphere lots folks moseying various buffets bars restaurants stuffed like thanksgiving turkeys place, like lay large inviting beautiful pool lounge chair white sand beach blasted loud music different places place, basically no dominican culture people historical sights just want nice beach vacation reasonable price amenities place, punta cana/bavaro area general populated big mega resort like large landlocked cruise ships, resort course pesky timeshare folks, turn opportunity timeshare presentation 3 times did no answer lot quickly places, relish thought overeating restaurants buffets numerous food plentiful, large buffet mediocre plenty fresh fruit choices, sits little long no group suffered gi upset, restaurants pretty good liked japanese french best, service spotty received excellent terrible service different places different points stay, inconsistent service probably best way, paid premium price access internet wireless notebook slow kicked various times, not paid premium internet minutes just shrugged shoulders said dominican republic having paid service n't easy use forgiving, fortunately car driven resort santo domingo, able explore area, generally area overall lacked charm culture places visited dominican republic,  ",2024-11-27 03:25,James Mcguire,EMP897,52,+1-421-369-7816x3461,Positive,HR,19,9,Inactive,$389,4,Vegetarian,Standard,Swimming,Gym,Luxury
1103,Dana Cooper,xsmith@example.org,"did n't want leave ca n't stop talking great time, sand undescribably soft resort clean staff extremely helpful food great experience, friend n't fit activities marisol hugh help, none problems listed reviews, did bring washclothes reading previous reviews brought washclothes everyday, recommend bringing snacks restaurants closed lunch dinner reservations n't 9:00 pm, no problem making reservations restaurants days advance, recommend extra money vip package, 20 min massage spa wonderful, wanted services n't fit time in.i went girlfriends definately going husband,  ",2024-07-19 10:33,Alexander Wilson,EMP996,26,204-898-1011x03800,Negative,Engineering,28,4,Active,$337,3,Non-Vegetarian,Deluxe,Table tennis,Gym,Luxury
1104,Eric Dixon,okemp@example.com,"good island stayed kowloon shangri-la island fully booked, recent convert shangri-la experience having thoroughly enjoyed stay island march 2005. shangri-la membership thought stick group, kowloon not choice negotiated good deal city view room horizons floor.the room standard level room furnished classic american regency style, recently refurbished discerning eye pick re-used bathtub sink wardrobe doors, bathroom did not lcd tv level attention nice familiar, forget view n't not main concern, plus point huge room accommodated kingsize bed sofa arm chair room spare, important working room large parts day, free internet room fax/copying facilities free use lounge 1 session conference room working meetings easier, free pressing came handy too.service wise helpful friendly efficient, express check-in lounge nice touch complimentary beverages lounge, location ok not bit way, hotel does provide free shuttle star ferry it__Ç_é_ 10 min walk mody road/granville road subway catch mtr, spent time hk island bit chore taxis journeys expensive extra toll charges added cross harbour, brings say kowloon generally touristy things taxis generally work expensive longer routes, visit optician carrying official hk tourist emblem turned bit trap trying sell expensive frames/lenses bombarding sales talk, end don__Ç_é_ think got 30 advertised food wise bit bare immediate area, thoroughly recommend ground floor thai restaurant tsim sha sui centre door come hotel turn right shanghainese restaurant xiou nan guo 1st level diners elevated walkway hotel, serve good quality food good prices, worth checking numerous indian tailors mody road made-to-measure suit, men wool suit not designer fabric region hkd 1500 2-3 days complete, hotel arranged booking dinner exclusive kee club members affair food good relaxed dining atmosphere.all lovely relaxed experience island beats quality service comfort,  ",2024-09-28 07:11,Tracey Jensen,EMP481,64,(688)897-8906x6032,Positive,Finance,4,3,Inactive,$222,9,Vegetarian,Deluxe,Swimming,Massage,Frugal
1105,Melanie Cook,nicolejordan@example.org,"thought hotelwas ok 3 week trip california nevada picked hotels based entirely trip adviosr reviews disappointed with.perhaps expecting no reason not like hotel just small boutique type hotels attention breakfast included etc.when checked fairly hard sell upgrade larger/better room felt uncomforatble declining.all saw hotel literally walking room no contact hotel all.although area tacky did like situated stay area again.our deluxe bay view room overlooked hotel not thought misleading lean window bit bay view room acurately overlooked park side.so nothing wrong complain just average experience,  ",2024-04-30 06:28,Katelyn Jimenez,EMP401,21,208-546-5177,Neutral,Engineering,10,10,Active,$294,8,Vegan,Deluxe,Badminton,Gym,Frugal
1106,Gabriel Rodriguez,perezmelissa@example.net,"great hotel went sofitel celebrate birthday friend, hotel recommended met expectations, rooms clean comfortable staff polite helpful, location hotel superb central, conciege helpful cheerful.we drank bar night retiring staff chatty polite, knowledge city good recommended good shops sights.i highly recommend hotel plan return future,  ",2024-12-31 19:51,Sonya Mendoza,EMP040,27,5625787399,Neutral,Support,2,6,Inactive,$102,1,Vegetarian,Standard,Table tennis,Gym,Luxury
1107,Jorge Patel,simswilliam@example.org,"truth.. stayed stayed got sick puking dierrhea.the shows pretty good/funny.the 3 restaurants pretty good, pool nice not big beach great, hard seat pool like 10 rooms bit smelly..beds not greatest pretty clean, supply fridge safe.go excursion like bavaro runners starfish park,  ",2024-09-23 16:34,Marcus Armstrong,EMP162,56,(489)771-0160,Negative,HR,7,8,Inactive,$277,5,Vegan,Suite,Golf,Massage,Luxury
1108,Dale Hall,terri17@example.org,"super hip hot bar, loved bar, white hot, great location business shopping, cool rooms hip staff know,  ",2024-10-20 21:08,Emily White,EMP105,34,(691)234-2104x8346,Negative,Sales,3,2,Active,$57,2,Vegetarian,Suite,Table tennis,Massage,Frugal
