Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
Cynthia Contreras,ballardsarah@example.com,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",27-01-2024 10:08,Richard Gutierrez,EMP072,55,471.405.4492,Positive,Sales,28,2,Inactive,$410,6,Vegan,Suite,Badminton,Gym,Frugal
Angela Swanson,beckyhaynes@example.org,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",09-02-2024 18:43,Michael Henry,EMP593,29,001-631-250-5200x319,Negative,Finance,30,2,Inactive,$55,8,Non-Vegetarian,Deluxe,Badminton,Gym,Frugal
Richard Reyes,chase83@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",11-05-2024 15:32,Kiara Thompson,EMP995,68,990.849.3876,Neutral,HR,20,2,Active,$210,6,Non-Vegetarian,Deluxe,Badminton,Sauna,Frugal
Zoe Bauer,howardtim@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",06-11-2024 19:55,Melanie Johnson,EMP232,52,328.913.6777x2773,Neutral,Finance,27,9,Inactive,$332,6,Vegetarian,Deluxe,Badminton,Massage,Luxury
Brian Wright,diana04@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",13-06-2024 09:32,Aaron Walker,EMP561,53,403.831.6055x70998,Negative,Engineering,12,9,Active,$74,7,Non-Vegetarian,Deluxe,Golf,Sauna,Luxury
Adam Carter,daniellesmith@example.com,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",28-07-2024 06:22,Patricia Jimenez,EMP425,20,001-876-303-9531x2830,Positive,Engineering,23,0,Active,$226,3,Vegetarian,Deluxe,Golf,Sauna,Luxury
Corey Michael,areynolds@example.com,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",22-09-2024 19:43,Michael Mckenzie,EMP064,57,529-990-8978x1980,Neutral,HR,16,8,Inactive,$365,6,Non-Vegetarian,Standard,Table tennis,Massage,Luxury
Joseph Wolfe,david00@example.org,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",26-04-2024 22:31,Andrew Nichols,EMP807,25,+1-800-890-3942x536,Neutral,Engineering,12,7,Active,$384,8,Non-Vegetarian,Deluxe,Golf,Sauna,Frugal
Carmen Salazar,angela64@example.com,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",25-09-2024 21:52,Alicia Roman,EMP644,53,-1331,Positive,Support,20,10,Inactive,$194,8,Vegan,Standard,Table tennis,Sauna,Frugal
John Curtis,shaunabbott@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",17-12-2024 15:58,Robert Harmon,EMP951,61,871.510.0056,Negative,HR,17,0,Inactive,$317,9,Vegetarian,Suite,Golf,Massage,Frugal
Michelle Walker,reednicholas@example.com,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",01-01-2024 06:57,Emily Garza,EMP460,20,001-407-761-2446x863,Negative,Engineering,11,5,Inactive,$142,3,Non-Vegetarian,Suite,Golf,Gym,Frugal
Jason Soto,ckelly@example.com,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",13-05-2024 08:45,James Matthews,EMP070,69,437.870.2634x60019,Positive,Engineering,26,1,Inactive,$95,8,Vegetarian,Deluxe,Badminton,Gym,Frugal
Edward Thompson,lyonscandace@example.net,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",12-01-2024 18:39,Kayla Johnston,EMP277,43,(861)366-9757,Negative,HR,1,2,Inactive,$239,5,Vegan,Standard,Golf,Sauna,Frugal
Joseph Ford,kelliconrad@example.org,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",06-08-2024 11:46,Michael Johnson,EMP442,26,361-491-8587x9132,Neutral,HR,29,6,Active,$411,2,Vegan,Standard,Swimming,Massage,Luxury
Bobby Phillips,paula81@example.org,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",09-01-2024 04:09,Erin Sandoval,EMP016,42,853-202-5206x3087,Positive,Sales,24,2,Inactive,$227,4,Vegan,Deluxe,Swimming,Massage,Luxury
Yvonne Spence,robert70@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",21-04-2024 17:23,Linda Page,EMP411,57,982-918-7902x790,Negative,Sales,12,9,Active,$439,2,Vegan,Deluxe,Table tennis,Gym,Frugal
Michael Cisneros,nelsonjoseph@example.org,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",02-08-2024 19:07,Joel Mathews,EMP783,48,001-284-380-3837,Negative,Support,17,1,Active,$469,4,Non-Vegetarian,Standard,Swimming,Gym,Luxury
Jennifer Peterson,robertpeterson@example.org,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",29-11-2024 09:14,Christopher Kelly,EMP562,33,341-872-7167,Positive,Engineering,1,8,Active,$460,6,Vegetarian,Standard,Swimming,Sauna,Luxury
Benjamin Cantrell,martha22@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",28-02-2024 10:20,Dr. Jeremy Lewis MD,EMP374,58,904.691.2373x24473,Positive,Support,2,9,Inactive,$355,6,Non-Vegetarian,Deluxe,Table tennis,Sauna,Frugal
Thomas Cooper,irosario@example.org,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",16-11-2024 10:36,Michael Williams,EMP105,24,226-222-2767,Positive,Support,18,6,Inactive,$193,2,Vegan,Deluxe,Badminton,Sauna,Frugal
Robin Baird,zwilliams@example.net,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",03-08-2024 13:07,Alexandra Hanson,EMP889,68,(675)840-1836,Neutral,Sales,7,6,Inactive,$358,2,Non-Vegetarian,Suite,Table tennis,Gym,Luxury
Christina Pearson,ashaw@example.org,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",31-03-2024 19:59,Patricia Trujillo,EMP394,49,(333)257-4084x4541,Neutral,Finance,20,8,Active,$463,5,Vegan,Deluxe,Badminton,Massage,Frugal
Maria Mills,martinkyle@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",19-10-2024 04:03,Deborah Gregory,EMP904,69,594-781-6748x255,Negative,Finance,25,9,Active,$190,4,Vegan,Standard,Swimming,Gym,Frugal
Jonathan Stanton,russellsandra@example.net,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",22-05-2024 12:12,Jamie Brown,EMP849,61,-5827,Negative,Sales,21,4,Inactive,$180,9,Vegan,Deluxe,Swimming,Sauna,Luxury
Tammy Harris,ashley00@example.com,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",09-07-2024 21:14,Deborah Mathews,EMP109,28,987.418.3847,Neutral,Sales,4,10,Active,$398,5,Non-Vegetarian,Standard,Golf,Sauna,Frugal
Kelly Johnson,ezamora@example.com,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",30-10-2024 11:26,Paula Nelson,EMP732,38,237.381.2344x978,Positive,HR,16,4,Inactive,$329,8,Non-Vegetarian,Deluxe,Swimming,Massage,Luxury
Renee Riley,robert51@example.com,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",27-10-2024 12:04,Rebecca Ramirez,EMP237,62,715-586-0994x7606,Negative,Finance,27,3,Active,$310,2,Vegan,Suite,Badminton,Sauna,Luxury
Stephen Michael,hallmichael@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",22-10-2024 08:50,Austin Martinez,EMP557,45,+1-549-230-7458x98276,Negative,HR,15,1,Inactive,$291,2,Vegan,Standard,Badminton,Sauna,Frugal
Erin Nguyen,victoriaolson@example.net,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",27-10-2024 12:24,Jonathan Mckenzie,EMP310,38,+1-227-690-4860x9567,Neutral,Finance,7,3,Inactive,$195,9,Vegan,Suite,Swimming,Gym,Luxury
Norma Higgins,garciaashley@example.com,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",14-12-2024 06:29,Michael Poole,EMP500,19,-7447,Neutral,Sales,9,4,Active,$252,10,Non-Vegetarian,Suite,Table tennis,Sauna,Luxury
Shelby Bell,riverajennifer@example.org,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",30-01-2024 18:49,Mary Wilkinson,EMP229,33,946-525-7184x63365,Positive,Support,4,0,Active,$123,8,Non-Vegetarian,Standard,Badminton,Gym,Frugal
Monica Page,dvaldez@example.com,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",18-02-2024 06:27,Carlos Sutton,EMP933,51,001-292-397-5709x2087,Positive,Engineering,8,4,Active,$287,8,Vegan,Deluxe,Swimming,Gym,Frugal
Christopher Washington,amandawilliams@example.com,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",26-01-2024 08:50,Katrina Greene,EMP179,30,+1-364-621-6610x5529,Neutral,Engineering,14,4,Active,$480,4,Vegetarian,Standard,Badminton,Gym,Frugal
David Garcia,jchapman@example.com,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",04-10-2024 01:43,Shelly Kaufman,EMP227,26,001-242-955-2878,Positive,HR,18,10,Inactive,$213,2,Vegan,Suite,Badminton,Sauna,Luxury
Gerald Duarte,tsalazar@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",30-09-2024 07:59,John Mendoza,EMP557,59,8586948449,Neutral,Sales,10,2,Inactive,$274,4,Vegetarian,Suite,Badminton,Massage,Luxury
Michael Mitchell,daniellewashington@example.org,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",13-12-2024 02:29,Carol Berry,EMP028,44,(392)200-6030x02760,Positive,HR,14,4,Inactive,$414,8,Vegan,Suite,Golf,Massage,Frugal
Tammy Beck,ryan75@example.net,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",29-11-2024 19:47,Shane Rodriguez,EMP385,38,660-845-0453,Negative,Engineering,7,5,Inactive,$105,3,Vegan,Standard,Table tennis,Massage,Frugal
Brenda Davis,jeffreyhuynh@example.net,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",06-10-2024 17:31,Kevin Caldwell,EMP839,64,001-993-281-6224x603,Negative,Finance,27,0,Inactive,$221,7,Non-Vegetarian,Deluxe,Golf,Massage,Luxury
Paul Spencer,anthonyramirez@example.net,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",04-07-2024 21:50,Bradley Reed,EMP607,34,+1-896-675-2965x8931,Negative,Engineering,1,10,Inactive,$173,3,Vegan,Standard,Table tennis,Sauna,Frugal
Kristen Ramirez,whitepaul@example.net,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",15-05-2024 20:49,Derrick Walker,EMP274,43,9429735366,Positive,Sales,12,7,Inactive,$399,4,Vegetarian,Standard,Table tennis,Gym,Luxury
Justin Curry,johnsonbrian@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",14-10-2024 11:38,Katelyn Scott,EMP719,45,-2712,Negative,Sales,9,5,Inactive,$357,4,Vegetarian,Deluxe,Table tennis,Massage,Frugal
Cindy Garrison,briannaharris@example.com,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",06-11-2024 23:25,Mark Stewart,EMP960,30,863-965-4448x30020,Neutral,Sales,15,2,Active,$312,5,Vegan,Deluxe,Table tennis,Gym,Frugal
Todd Green,jacobmiller@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",24-03-2024 07:26,David Baxter,EMP022,28,(634)910-2619,Positive,Engineering,16,0,Inactive,$322,4,Vegetarian,Standard,Swimming,Gym,Frugal
Michelle Martin,morgansmith@example.com,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",03-01-2024 11:49,Pamela Jones,EMP551,68,279.242.9333x572,Negative,Sales,27,8,Active,$231,8,Non-Vegetarian,Deluxe,Badminton,Massage,Frugal
Christopher Russell,stokesheather@example.net,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",04-02-2024 11:21,Joe Butler,EMP459,38,001-342-426-1603x792,Negative,Engineering,13,7,Active,$206,4,Vegetarian,Standard,Badminton,Sauna,Frugal
Susan Thomas,berrykimberly@example.org,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",21-08-2024 01:10,Brian Lloyd,EMP307,50,6884130939,Negative,HR,22,9,Inactive,$64,3,Non-Vegetarian,Deluxe,Badminton,Sauna,Frugal
Krystal Jenkins,sheryl06@example.com,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",16-05-2024 21:59,Richard Foster,EMP568,58,642.683.6297,Positive,Finance,2,3,Inactive,$128,9,Vegan,Standard,Table tennis,Massage,Frugal
Heather Reed,dakota44@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",10-11-2024 00:52,Holly Lee,EMP665,28,667.529.6161x51047,Neutral,HR,9,8,Active,$64,7,Vegetarian,Deluxe,Table tennis,Gym,Frugal
Laura Lozano,david63@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",28-01-2024 12:14,Diane Young,EMP522,52,689.774.1874,Negative,Engineering,13,10,Inactive,$175,3,Vegan,Standard,Golf,Sauna,Frugal
Andrew Wilson,shaunduffy@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",14-02-2024 22:56,Scott Cook,EMP782,41,682.665.3431x98004,Negative,HR,29,6,Active,$187,7,Non-Vegetarian,Standard,Golf,Massage,Frugal
Carl Hamilton,jason24@example.org,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",28-06-2024 08:59,Tom Rice,EMP738,54,(939)433-2755,Positive,Sales,29,0,Active,$275,1,Non-Vegetarian,Deluxe,Golf,Gym,Frugal
Melissa Edwards,rivasjohn@example.org,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",08-08-2024 09:41,Jacob Wood,EMP141,33,452-965-4385,Positive,Finance,25,0,Inactive,$60,6,Vegetarian,Suite,Golf,Gym,Frugal
Alan Harrison,bennettrick@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",07-06-2024 13:48,Angela Vaughan,EMP904,18,(581)919-3645,Negative,Finance,10,9,Active,$371,4,Vegan,Suite,Swimming,Sauna,Frugal
Christopher Bailey,michellehenry@example.org,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",24-03-2024 13:08,Scott Miller,EMP966,37,+1-586-382-3189x17129,Neutral,Sales,11,9,Active,$414,3,Vegetarian,Standard,Golf,Sauna,Luxury
Garrett Smith,millerjeffrey@example.org,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",24-09-2024 12:59,Sarah Phillips,EMP707,55,(448)483-8241x292,Neutral,HR,6,6,Active,$225,9,Non-Vegetarian,Deluxe,Badminton,Gym,Luxury
Sharon Hall,jamesbrian@example.org,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",13-05-2024 07:53,Amber Garner,EMP810,26,001-514-694-4706x460,Negative,Support,30,10,Active,$88,3,Vegetarian,Deluxe,Swimming,Massage,Luxury
John Munoz,rbaker@example.net,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",05-06-2024 12:04,Mr. Daniel Richard DDS,EMP175,52,-998,Positive,HR,4,1,Inactive,$103,8,Vegan,Suite,Badminton,Sauna,Luxury
Matthew Jones,upowers@example.com,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",04-10-2024 03:49,Jennifer Obrien,EMP688,34,344.268.4316x40856,Neutral,Finance,25,6,Active,$70,3,Non-Vegetarian,Deluxe,Swimming,Massage,Luxury
Cynthia Evans,gvaldez@example.com,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",02-12-2024 17:15,Kenneth Green,EMP692,42,-1738,Positive,Finance,27,0,Active,$215,3,Vegetarian,Deluxe,Swimming,Massage,Luxury
Jared Hart,pgrant@example.net,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",15-07-2024 14:09,Collin Smith,EMP653,21,741-664-9390x24162,Positive,Sales,9,10,Active,$491,10,Vegetarian,Standard,Table tennis,Massage,Luxury
Clayton Simmons,morrischarles@example.net,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",05-07-2024 02:51,Samuel Gonzalez,EMP227,24,403.449.2453,Negative,Finance,8,2,Active,$424,2,Vegetarian,Deluxe,Swimming,Gym,Luxury
Tracy Bautista,jonathanroberts@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",23-08-2024 01:42,Miguel Wilson,EMP951,68,623-579-8871x26682,Positive,Engineering,26,2,Inactive,$412,4,Non-Vegetarian,Suite,Badminton,Massage,Luxury
Patrick Ellis,amarshall@example.com,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",20-10-2024 15:58,Philip Reyes,EMP791,62,001-410-503-0409x86641,Negative,HR,29,8,Active,$359,5,Vegetarian,Standard,Table tennis,Massage,Luxury
Nathan Ferguson,danieldixon@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",19-08-2024 09:29,Kevin Lewis,EMP339,56,001-869-878-3037,Negative,Sales,13,3,Active,$113,9,Vegan,Suite,Golf,Gym,Luxury
Cheryl Weeks,omorgan@example.org,"I had a wonderful time at the restaurant. The ambiance was cozy, the service was prompt, and the chef even came out to greet us. The menu had a great variety, and every dish we tried was delicious.",29-06-2024 13:41,Megan James,EMP472,55,001-521-211-6205x43497,Positive,Engineering,6,7,Active,$497,9,Vegan,Deluxe,Swimming,Gym,Luxury
Jeremy Cruz,ghart@example.org,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",09-06-2024 10:19,Dana Everett,EMP078,41,(248)472-6381x8196,Positive,Sales,27,4,Active,$300,10,Vegetarian,Standard,Badminton,Sauna,Luxury
Norman Ramirez,michael76@example.org,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",10-01-2024 16:32,Anna Ruiz,EMP760,56,-9795,Negative,Engineering,22,8,Active,$265,2,Vegetarian,Suite,Golf,Massage,Luxury
Patrick Davis,gberry@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",14-02-2024 05:47,Michael Brooks,EMP744,25,+1-807-811-5491x10559,Positive,HR,20,8,Active,$424,4,Vegetarian,Suite,Table tennis,Gym,Luxury
Gilbert Calhoun,maria87@example.org,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",17-03-2024 16:04,Michael Robinson,EMP652,38,001-302-490-6561,Positive,Engineering,3,1,Inactive,$55,4,Vegan,Standard,Swimming,Massage,Frugal
Colton Stanley,kvillegas@example.com,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",21-04-2024 09:36,Ashley Moore,EMP602,42,668-675-2975x450,Negative,Sales,21,7,Inactive,$285,5,Vegan,Suite,Table tennis,Sauna,Frugal
Levi Wells,matthew87@example.org,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",08-12-2024 14:34,Jeffrey Hill,EMP990,60,625-794-2504x461,Neutral,Sales,6,9,Active,$270,7,Non-Vegetarian,Deluxe,Badminton,Sauna,Frugal
Michael Schmidt,fsalazar@example.net,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",08-09-2024 05:20,Eric Hanna,EMP587,32,(644)846-8662x50727,Negative,Finance,21,4,Active,$105,4,Vegan,Standard,Swimming,Massage,Luxury
Rhonda Jimenez,donnarodriguez@example.net,"The dining was okay. Nothing too extraordinary, but the staff were polite, and the restaurant was clean. The pasta was slightly overcooked, but the sauce made up for it.",07-09-2024 05:00,Kaitlyn Harding,EMP196,44,968.415.3081,Neutral,Sales,5,10,Inactive,$114,9,Vegan,Standard,Badminton,Sauna,Luxury
James Jones,garysmall@example.org,"I was disappointed with the experience. The service was incredibly slow, and the food was cold when it arrived. The menu was overpriced, and the portions were small.",21-08-2024 08:54,Michael Lewis,EMP988,66,203-459-6767,Positive,Support,26,3,Active,$219,5,Non-Vegetarian,Deluxe,Swimming,Sauna,Frugal
Dawn Turner,lauranguyen@example.com,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",13-10-2024 12:05,Richard Barr,EMP857,44,321-713-6954,Positive,Sales,23,0,Inactive,$242,7,Non-Vegetarian,Standard,Swimming,Massage,Luxury
Samantha Wright,hernandezmegan@example.org,"Unfortunately, the dining experience was below par. The pasta was soggy, the soup was bland, and the waiter forgot one of our orders. Not planning to return.",07-09-2024 22:54,John Medina,EMP727,43,(725)708-3829,Negative,HR,24,1,Active,$116,1,Vegetarian,Standard,Table tennis,Sauna,Luxury
Jose Taylor,robertskayla@example.com,"The food was good, but it took quite a while to arrive. The staff were courteous, but the restaurant was a bit too crowded for my taste. Overall, a decent experience.",13-05-2024 19:10,Willie Ruiz,EMP873,29,(635)583-9955,Positive,Support,9,9,Active,$328,4,Vegan,Deluxe,Swimming,Sauna,Luxury
Jennifer Hendrix,courtney52@example.org,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",19-09-2024 04:17,Rebecca Rogers,EMP611,19,(977)691-6776x42199,Positive,Sales,18,2,Active,$126,10,Non-Vegetarian,Deluxe,Badminton,Massage,Frugal
Holly Wright,hannah12@example.com,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",16-06-2024 17:18,Tracey Dixon,EMP482,38,345.422.3880x47019,Neutral,Sales,23,4,Inactive,$60,10,Vegan,Suite,Swimming,Gym,Luxury
Tyler Hale,brownpamela@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",09-12-2024 12:56,Amber Miller,EMP969,36,889-291-9375,Positive,HR,28,1,Active,$410,3,Vegetarian,Deluxe,Swimming,Massage,Luxury
Wayne Stewart,taylorgilmore@example.net,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",01-01-2024 13:32,Greg Oneill,EMP040,64,(673)441-5540x22681,Negative,Engineering,29,6,Inactive,$127,5,Vegetarian,Deluxe,Swimming,Massage,Frugal
Patrick Cameron,kellertoni@example.net,"The ambiance was nice, but the noise levels were higher than expected. The food was fine, but I wish there were more vegetarian options on the menu.",23-09-2024 11:16,James Roth,EMP990,50,001-742-256-3148x5287,Negative,Finance,4,10,Active,$98,6,Vegan,Deluxe,Badminton,Gym,Luxury
George Stout,matthew83@example.net,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",10-02-2024 15:42,Shelley Sanchez,EMP782,63,(672)451-7253,Negative,HR,13,4,Active,$190,5,Vegetarian,Standard,Table tennis,Sauna,Frugal
Sandra Davis,danielsims@example.com,"It was an average meal. The salad was fresh, but the steak was slightly underdone. The dessert was good, though.",10-06-2024 01:28,Stephen Rose,EMP761,62,001-769-445-2136x53284,Positive,Sales,23,7,Active,$152,3,Non-Vegetarian,Suite,Table tennis,Massage,Luxury
Mark Shea,davidgarrett@example.com,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",15-08-2024 08:59,Richard Dunlap,EMP418,44,(814)397-7254x92820,Neutral,Sales,25,2,Inactive,$314,2,Non-Vegetarian,Suite,Table tennis,Sauna,Luxury
Pamela Barnett,abigail98@example.org,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",11-07-2024 20:33,Paul Shelton,EMP595,46,780-653-8410x7526,Negative,Finance,17,7,Active,$120,10,Non-Vegetarian,Suite,Golf,Massage,Frugal
Carlos Hill,shawjonathan@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",07-10-2024 09:52,Mr. Tyler Davis,EMP985,65,361.270.8954x258,Neutral,Support,6,3,Active,$429,8,Vegetarian,Suite,Badminton,Massage,Luxury
Matthew Sanchez,vmcdonald@example.net,"Loved everything about this place! From the warm welcome at the door to the delicious appetizers and main courses. The seafood platter was a must-try, and the live music added charm.",16-12-2024 19:57,Cynthia Peters,EMP504,24,450-503-6047x977,Negative,Finance,19,2,Active,$303,6,Vegan,Standard,Golf,Sauna,Frugal
